,ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS,BULK_TOTAL,PORV_TOTAL
0,Valysar,WestLowland,4863148.691947548,581953.6194000244,242983.30458184704,169444.42844098806,23857776.070989132,0.0,0.0,0.0,0.0,0.0,532656961.4001149,83116573.53366089
1,Valysar,CentralSouth,58246749.73665969,10642870.257009506,7682283.247654736,5357240.876057565,754299531.2526016,0.0,0.0,0.0,0.0,0.0,131036985.30226907,23637013.020599365
2,Valysar,CentralNorth,32716307.184978276,5815197.184371948,4345047.784405708,3030019.4432046413,426626747.30914307,0.0,0.0,0.0,0.0,0.0,104201851.02682042,15071388.356140137
3,Valysar,NorthHorst,3731447.1236388907,446469.7942085266,198098.90879774094,121682.37313556671,23837576.166778564,23636333.19079261,2818479.5756759644,1812019.7860803604,421399943.1043091,64474.191660150886,40961520.97868073,5222093.303344727
4,Valysar,CentralRamp,13279498.078432752,1960806.5362243652,1202636.8689098358,838658.9225883484,118083178.9296875,0.0,0.0,0.0,0.0,0.0,13279498.078432752,1960806.5362243652
5,Valysar,CentralHorst,81104230.43657318,13205938.919624329,9858165.994581461,6874592.889423132,967942700.284729,0.0,0.0,0.0,0.0,0.0,99789472.97854897,15746591.911056519
6,Valysar,EastLowland,443565.6536892501,62647.9548034668,16611.719053268433,11584.183688163757,1631053.1057128906,0.0,0.0,0.0,0.0,0.0,259515030.28451037,35868304.27471924
7,Therys,WestLowland,2478082.6591502046,460018.07080841064,222467.2900876403,155137.5829963088,21843372.45514679,0.0,0.0,0.0,0.0,0.0,583573382.6311626,117292863.11933899
8,Therys,CentralSouth,8610005.1663712,1924022.7452037334,1154945.7453138828,805401.5135338902,113400535.80075073,0.0,0.0,0.0,0.0,0.0,35294264.283889204,7467189.483840942
9,Therys,CentralNorth,19394437.26709871,3964274.0973472595,2294938.6829174757,1600375.6897594035,225332902.4863472,0.0,0.0,0.0,0.0,0.0,85931285.72998607,15516414.203811646
10,Therys,NorthHorst,6826337.936624451,1004030.0196914673,384070.4337749481,235915.49477458,46215843.907562256,18072691.419149697,2949050.390350342,1881118.622177124,437469439.33587646,66932.8246640414,41546724.22354915,6628302.395599365
11,Therys,CentralRamp,6986770.598701181,1558357.5761108398,1162414.0995316505,810609.571448803,114133829.99664307,0.0,0.0,0.0,0.0,0.0,6986770.598701181,1558357.5761108398
12,Therys,CentralHorst,28319277.439605713,7505118.981826782,5693770.748996735,3970551.501933098,559053663.7792969,0.0,0.0,0.0,0.0,0.0,46567683.23932478,11079013.95741272
13,Therys,EastLowland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97228715.38685408,20106577.598892212
14,Volon,WestLowland,309924.2683946667,56263.94061279297,28846.4541015625,20116.076942443848,2832343.7216796875,0.0,0.0,0.0,0.0,0.0,456453792.9092857,83041031.89674377
15,Volon,CentralSouth,25498154.661032636,4588895.460144043,3135693.2482852936,2186675.9573278427,307883981.1907959,0.0,0.0,0.0,0.0,0.0,211086356.06057668,39659137.904785156
16,Volon,CentralNorth,5093636.405269821,634201.2610015869,271256.4369239807,189160.69971466064,26633827.19091797,0.0,0.0,0.0,0.0,0.0,40938736.30922581,5948438.199584961
17,Volon,NorthHorst,4749582.529529197,802134.2102203369,539439.3651618958,331350.95287799835,64911649.7722168,3307898.4007633706,630107.2222137451,542490.1662139893,126160502.01171875,19302.556921482086,15486130.132892353,2809893.6099853516
18,Volon,CentralRamp,11002841.070472872,1915892.3193817139,1367002.4863967896,953279.3022003174,134221728.70410156,0.0,0.0,0.0,0.0,0.0,13549592.495815616,2428686.719482422
19,Volon,CentralHorst,79683116.145247,14392992.721878052,11118249.318931103,7753312.100895286,1091666367.49292,0.0,0.0,0.0,0.0,0.0,110619921.94782586,19760301.35534668
20,Volon,EastLowland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194408791.05640477,34434323.932006836
