,ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS,BULK_TOTAL,PORV_TOTAL
0,Valysar,WestLowland,4876938.042451107,581190.4683647156,264582.9488323629,184506.9414107278,25978577.895452023,0.0,0.0,0.0,0.0,0.0,532656405.8310214,83119788.08798218
1,Valysar,CentralSouth,58259402.49817419,10654739.976043701,7779471.171012497,5425014.881680151,763842112.1403878,0.0,0.0,0.0,0.0,0.0,131036152.73035112,23636870.461090088
2,Valysar,CentralNorth,32697355.321421135,5812553.337471008,4407055.345460031,3073260.417246495,432715076.4806157,0.0,0.0,0.0,0.0,0.0,104201998.6056451,15071436.049057007
3,Valysar,NorthHorst,3729551.0330283972,453640.67844963074,228199.68520861678,140171.7932134415,27459653.421069503,23639725.74276172,2811006.095012665,1805061.0035376959,419781622.3697624,64226.58861095994,40961871.31619041,5222167.766296387
4,Valysar,CentralRamp,13278675.625716444,1960705.2695922852,1202581.7591360807,838620.491225779,118077767.92756653,0.0,0.0,0.0,0.0,0.0,13278675.625716444,1960705.2695922852
5,Valysar,CentralHorst,81106294.08357552,13203843.49725914,9886413.467727555,6894291.268356751,970716231.9162931,0.0,0.0,0.0,0.0,0.0,99791222.71840668,15746887.58328247
6,Valysar,EastLowland,447300.4585400952,62613.98971366882,22371.48907852173,15600.759775161743,2196587.0126953125,0.0,0.0,0.0,0.0,0.0,259512582.7943862,35867864.77685547
7,Therys,WestLowland,2481471.48523679,462316.99008214474,242193.6992071271,168893.7970328927,23780247.11405182,0.0,0.0,0.0,0.0,0.0,583572378.0222301,117323773.69059977
8,Therys,CentralSouth,8622547.52619993,1937075.5107873976,1198764.438779829,835958.4846980637,117702957.30660701,0.0,0.0,0.0,0.0,0.0,35293366.818518646,7481335.479992241
9,Therys,CentralNorth,19410309.683232084,3966510.444923401,2348694.981575855,1637862.6439988734,230611065.7746482,0.0,0.0,0.0,0.0,0.0,85932343.21466546,15522664.101458132
10,Therys,NorthHorst,6823659.20864031,1007703.5360636115,400838.25561304577,246215.1389733022,48233544.23920667,18073352.811639804,2946629.4134296775,1885641.0872489214,438521176.3771229,67093.74034424196,41548106.4639971,6631236.629718244
11,Therys,CentralRamp,6986106.91343112,1559392.3712798655,1162528.7107956968,810689.4947146513,114145083.41399097,0.0,0.0,0.0,0.0,0.0,6986106.91343112,1559392.3712798655
12,Therys,CentralHorst,28324932.76265244,7511635.677255213,5718945.423280798,3988107.073664233,561525489.4145021,0.0,0.0,0.0,0.0,0.0,46559648.59471566,11082579.058495943
13,Therys,EastLowland,1.1804434920011317,0.4017864614725113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97234205.36140853,20122123.73043558
14,Volon,WestLowland,314203.72062076884,56738.82876777649,36004.46552276611,25107.716999053955,3535166.626220703,0.0,0.0,0.0,0.0,0.0,456452803.8185824,83058507.18912272
15,Volon,CentralSouth,25503908.61473126,4569845.064310074,3372058.6200942993,2351505.36328125,331091962.732666,0.0,0.0,0.0,0.0,0.0,211084477.98194948,39658805.76940918
16,Volon,CentralNorth,5095024.441235964,631244.6275720596,284197.46631622314,198185.12700653076,27904466.495117188,0.0,0.0,0.0,0.0,0.0,40937928.04154923,5948331.291053772
17,Volon,NorthHorst,4758901.09053987,799221.6588745117,555436.0459060669,341176.92469501495,66836557.46020508,3303432.2018888853,630713.8162069321,544865.7386512756,126712960.38476562,19387.083025455475,15486028.093797322,2809892.851211548
18,Volon,CentralRamp,10998196.14907306,1912876.138250351,1396981.229751587,974184.9782562256,137165248.09765625,0.0,0.0,0.0,0.0,0.0,13550670.68040854,2428892.057861328
19,Volon,CentralHorst,79681545.04055436,14375965.719596863,11182299.305984497,7797977.370236397,1097955237.7382812,0.0,0.0,0.0,0.0,0.0,110619757.785571,19760267.584091187
20,Volon,EastLowland,389.20061489841703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194409495.59477484,34434411.80543518
